"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"1931";"100000";"96005";"94166";"93638";"93328";"93101";"92953";"92801";"92675";"92594";"92471";"92356";"92253";"92118";"91881";"91617";"91512";"91405";"91315";"91237";"91149";"91066";"90970";"90863";"90785";"90687";"90587";"90483";"90396";"90327";"90231";"90141";"90028";"89935";"89831";"89709";"89596";"89470";"89339";"89212";"89057";"88884";"88705";"88491";"88256";"88003";"87700";"87380";"87004";"86630";"86212";"85728";"85263";"84771";"84215";"83588";"82906";"82155";"81390";"80428";"79465";"78497";"77480";"76321";"75058";"73701";"72277";"70775";"69044";"67316";"65607";"63686";"61748";"59618";"57449";"55296";"53110";"50751";"48365";"46027";"43514";"40909";"38254";"35438";"32717";"29806";"26796";"23803";"20881";"";"";"";"";"";"";"";"";"";"";"";"100000";"97078";"95655";"95212";"94984";"94811";"94663";"94558";"94466";"94373";"94307";"94225";"94128";"94002";"93804";"93655";"93575";"93507";"93450";"93401";"93348";"93295";"93239";"93184";"93136";"93085";"93021";"92966";"92904";"92849";"92789";"92739";"92677";"92616";"92557";"92498";"92429";"92344";"92254";"92145";"92012";"91886";"91766";"91627";"91469";"91302";"91129";"90928";"90724";"90489";"90249";"90000";"89724";"89412";"89095";"88742";"88372";"87945";"87476";"86981";"86475";"85940";"85305";"84611";"83894";"83150";"82384";"81526";"80643";"79596";"78463";"77267";"75956";"74608";"73165";"71594";"69918";"68222";"66393";"64430";"62281";"59988";"57385";"54728";"51738";"48594";"45186";"41627";"37726";"";"";"";"";"";"";"";"";"";"";""
"1932";"100000";"96122";"94500";"94002";"93732";"93525";"93381";"93215";"93097";"92969";"92861";"92748";"92603";"92384";"92186";"92065";"91971";"91894";"91836";"91760";"91678";"91602";"91515";"91429";"91335";"91247";"91155";"91058";"90973";"90880";"90790";"90700";"90607";"90504";"90418";"90318";"90208";"90057";"89925";"89778";"89616";"89452";"89285";"89082";"88870";"88623";"88364";"88027";"87695";"87329";"86985";"86549";"86117";"85561";"85010";"84360";"83704";"83046";"82269";"81401";"80482";"79491";"78429";"77275";"76040";"74669";"73208";"71702";"70100";"68376";"66638";"64716";"62737";"60776";"58693";"56580";"54405";"52155";"49774";"47174";"44644";"41968";"39244";"36510";"33628";"30686";"27633";"24548";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97009";"95782";"95342";"95131";"94942";"94811";"94704";"94624";"94532";"94434";"94330";"94189";"93998";"93862";"93803";"93739";"93702";"93644";"93603";"93559";"93522";"93456";"93418";"93381";"93331";"93289";"93237";"93188";"93129";"93074";"93025";"92959";"92901";"92839";"92769";"92717";"92624";"92546";"92458";"92340";"92206";"92070";"91927";"91764";"91600";"91422";"91218";"91025";"90818";"90567";"90315";"90022";"89732";"89369";"88978";"88607";"88213";"87783";"87280";"86793";"86205";"85606";"84977";"84286";"83571";"82714";"81813";"80901";"79883";"78768";"77547";"76216";"74879";"73507";"72012";"70435";"68809";"66999";"65072";"63047";"60704";"58094";"55470";"52441";"49278";"45786";"42050";"";"";"";"";"";"";"";"";"";"";"";""
"1933";"100000";"96328";"94746";"94305";"93995";"93811";"93665";"93554";"93411";"93264";"93119";"92953";"92722";"92487";"92389";"92314";"92246";"92171";"92084";"92008";"91932";"91846";"91770";"91700";"91610";"91510";"91412";"91324";"91226";"91138";"91037";"90948";"90853";"90765";"90674";"90534";"90426";"90296";"90165";"90022";"89845";"89652";"89464";"89293";"89075";"88804";"88524";"88224";"87890";"87541";"87150";"86737";"86298";"85800";"85218";"84621";"84032";"83303";"82521";"81729";"80899";"79874";"78817";"77717";"76469";"75219";"73820";"72317";"70708";"69040";"67267";"65588";"63728";"61774";"59798";"57726";"55593";"53254";"50820";"48447";"45840";"43199";"40569";"37720";"34662";"31671";"28701";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97145";"95863";"95433";"95202";"95035";"94891";"94796";"94677";"94589";"94482";"94354";"94171";"94008";"93940";"93881";"93829";"93791";"93754";"93712";"93677";"93642";"93611";"93556";"93521";"93471";"93419";"93373";"93314";"93264";"93211";"93156";"93095";"93044";"92965";"92900";"92822";"92724";"92656";"92562";"92451";"92326";"92208";"92068";"91929";"91771";"91583";"91401";"91198";"90979";"90743";"90505";"90238";"89926";"89612";"89266";"88901";"88488";"88080";"87629";"87149";"86629";"86047";"85389";"84691";"83945";"83189";"82357";"81470";"80475";"79426";"78294";"77038";"75746";"74396";"72921";"71336";"69655";"67788";"65879";"63738";"61330";"58978";"56202";"53304";"50143";"46657";"";"";"";"";"";"";"";"";"";"";"";"";""
"1934";"100000";"96406";"95015";"94550";"94303";"94102";"93948";"93802";"93654";"93529";"93345";"93091";"92830";"92743";"92661";"92589";"92527";"92461";"92391";"92322";"92228";"92169";"92075";"91975";"91878";"91798";"91709";"91614";"91524";"91426";"91347";"91256";"91170";"91077";"90969";"90836";"90732";"90608";"90484";"90341";"90190";"90049";"89883";"89692";"89470";"89244";"88968";"88668";"88330";"87983";"87563";"87164";"86723";"86207";"85674";"85092";"84450";"83734";"83022";"82231";"81322";"80396";"79330";"78274";"77131";"75813";"74422";"72919";"71350";"69729";"68029";"66238";"64390";"62514";"60609";"58690";"56492";"54278";"52009";"49533";"47062";"44459";"41633";"38803";"35926";"32943";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97207";"96036";"95625";"95453";"95278";"95156";"95014";"94918";"94799";"94663";"94444";"94293";"94224";"94166";"94126";"94097";"94040";"94002";"93958";"93910";"93863";"93819";"93781";"93737";"93691";"93648";"93609";"93568";"93511";"93455";"93402";"93336";"93269";"93198";"93134";"93057";"92986";"92911";"92815";"92705";"92589";"92457";"92335";"92210";"92052";"91884";"91716";"91538";"91311";"91065";"90815";"90550";"90252";"89950";"89653";"89323";"88914";"88448";"88016";"87469";"86905";"86326";"85726";"85066";"84321";"83473";"82585";"81680";"80683";"79633";"78519";"77324";"76101";"74721";"73329";"71909";"70243";"68423";"66470";"64407";"62266";"59668";"56843";"53822";"50662";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1935";"100000";"96533";"95183";"94748";"94482";"94323";"94151";"93982";"93383";"93202";"92965";"92747";"92657";"92601";"92541";"92480";"92410";"92354";"92306";"92222";"92153";"92068";"91981";"91890";"91794";"91708";"91620";"91520";"91421";"91334";"91237";"91146";"91051";"90971";"90871";"90770";"90677";"90540";"90405";"90263";"90112";"89951";"89766";"89567";"89349";"89127";"88880";"88650";"88340";"88027";"87657";"87265";"86844";"86365";"85832";"85224";"84614";"83962";"83201";"82365";"81542";"80620";"79590";"78541";"77389";"76117";"74819";"73471";"71974";"70446";"68800";"67158";"65390";"63614";"61753";"59728";"57564";"55405";"53152";"50790";"48337";"45706";"42910";"40056";"37106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97392";"96216";"95859";"95649";"95493";"95354";"95219";"95107";"94941";"94741";"94582";"94530";"94479";"94449";"94408";"94370";"94333";"94282";"94233";"94196";"94166";"94132";"94085";"94035";"93994";"93938";"93893";"93847";"93805";"93750";"93697";"93639";"93561";"93509";"93434";"93325";"93254";"93170";"93066";"92962";"92856";"92754";"92634";"92470";"92296";"92151";"91980";"91791";"91582";"91364";"91111";"90846";"90551";"90267";"89921";"89580";"89173";"88778";"88307";"87814";"87241";"86658";"86046";"85333";"84605";"83836";"83016";"82076";"81083";"80060";"79041";"77877";"76663";"75364";"74017";"72461";"70768";"69016";"67136";"65087";"62696";"60266";"57523";"54464";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1936";"100000";"96676";"95311";"94852";"94605";"94404";"94198";"93777";"93519";"93227";"92985";"92881";"92805";"92733";"92691";"92638";"92582";"92514";"92447";"92386";"92307";"92232";"92131";"92032";"91944";"91841";"91744";"91633";"91528";"91458";"91367";"91265";"91152";"91057";"90961";"90857";"90770";"90636";"90520";"90378";"90239";"90094";"89894";"89697";"89502";"89266";"89024";"88752";"88472";"88160";"87799";"87364";"86944";"86469";"85960";"85438";"84831";"84188";"83466";"82662";"81845";"80884";"79914";"78823";"77763";"76570";"75311";"74012";"72567";"71081";"69569";"67922";"66231";"64509";"62588";"60743";"58695";"56586";"54349";"52093";"49540";"46863";"44017";"41028";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97427";"96326";"95946";"95770";"95600";"95427";"95280";"95099";"94885";"94689";"94603";"94540";"94492";"94457";"94431";"94400";"94368";"94311";"94282";"94239";"94193";"94150";"94116";"94082";"94043";"94001";"93948";"93900";"93858";"93813";"93751";"93687";"93618";"93556";"93480";"93398";"93313";"93208";"93118";"93005";"92909";"92787";"92676";"92542";"92381";"92227";"92041";"91837";"91633";"91391";"91168";"90900";"90611";"90290";"89955";"89602";"89212";"88792";"88334";"87815";"87290";"86674";"86038";"85389";"84645";"83924";"83106";"82268";"81380";"80426";"79468";"78439";"77213";"75979";"74537";"73057";"71382";"69652";"67794";"65718";"63400";"60898";"58182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1937";"100000";"96765";"95477";"95065";"94782";"94559";"94328";"94045";"93751";"93470";"93339";"93260";"93215";"93158";"93109";"93049";"93008";"92922";"92867";"92797";"92724";"92637";"92557";"92446";"92340";"92242";"92140";"92057";"91952";"91874";"91786";"91694";"91593";"91490";"91376";"91278";"91168";"91047";"90949";"90816";"90684";"90512";"90345";"90155";"89943";"89726";"89446";"89157";"88854";"88540";"88166";"87780";"87360";"86883";"86368";"85780";"85236";"84565";"83857";"83124";"82325";"81462";"80464";"79432";"78260";"77018";"75761";"74430";"73102";"71679";"70201";"68625";"67019";"65363";"63527";"61653";"59667";"57574";"55400";"53000";"50502";"47791";"45150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97534";"96500";"96188";"95977";"95786";"95614";"95394";"95124";"94927";"94838";"94788";"94757";"94726";"94694";"94650";"94623";"94567";"94532";"94506";"94461";"94430";"94384";"94354";"94311";"94267";"94228";"94196";"94156";"94117";"94068";"94003";"93941";"93877";"93816";"93730";"93653";"93585";"93503";"93405";"93322";"93188";"93066";"92916";"92769";"92624";"92472";"92307";"92118";"91921";"91700";"91479";"91262";"90943";"90653";"90334";"89965";"89557";"89140";"88719";"88208";"87697";"87135";"86481";"85831";"85121";"84345";"83465";"82610";"81703";"80747";"79714";"78649";"77526";"76255";"74844";"73342";"71734";"70017";"68053";"65989";"63717";"61249";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1938";"100000";"96798";"95779";"95292";"94989";"94734";"94406";"94060";"93740";"93597";"93524";"93460";"93415";"93361";"93302";"93243";"93161";"93097";"93040";"92959";"92882";"92810";"92734";"92648";"92560";"92474";"92371";"92275";"92186";"92119";"92035";"91925";"91838";"91731";"91639";"91541";"91434";"91288";"91178";"91051";"90903";"90747";"90594";"90409";"90226";"90002";"89756";"89484";"89228";"88885";"88514";"88121";"87714";"87289";"86783";"86248";"85693";"85064";"84361";"83610";"82833";"81970";"81017";"80048";"79095";"77899";"76690";"75439";"74156";"72730";"71289";"69795";"68178";"66495";"64753";"62885";"60958";"58923";"56769";"54395";"51909";"49211";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97560";"96664";"96234";"95974";"95741";"95443";"95151";"94927";"94824";"94769";"94737";"94712";"94680";"94640";"94600";"94552";"94511";"94472";"94445";"94396";"94350";"94314";"94275";"94248";"94203";"94153";"94108";"94063";"94012";"93959";"93907";"93850";"93777";"93719";"93646";"93580";"93506";"93424";"93335";"93240";"93134";"93028";"92913";"92787";"92621";"92464";"92288";"92120";"91906";"91704";"91451";"91182";"90900";"90617";"90264";"89903";"89480";"89037";"88593";"88057";"87540";"86944";"86347";"85695";"84974";"84272";"83505";"82711";"81817";"80841";"79866";"78790";"77687";"76462";"75172";"73737";"72182";"70433";"68496";"66450";"64182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1939";"100000";"96969";"95482";"94940";"94597";"93738";"93301";"92959";"92797";"92702";"92647";"92598";"92562";"92507";"92461";"92388";"92343";"92285";"92225";"92149";"92062";"91969";"91884";"91789";"91701";"91610";"91504";"91421";"91341";"91250";"91141";"91046";"90959";"90851";"90733";"90610";"90513";"90408";"90275";"90158";"89994";"89857";"89712";"89550";"89359";"89164";"88935";"88687";"88380";"88083";"87784";"87427";"87037";"86609";"86141";"85631";"85094";"84486";"83820";"83100";"82348";"81503";"80623";"79678";"78625";"77564";"76417";"75121";"73878";"72595";"71233";"69796";"68268";"66640";"64884";"62938";"61086";"58985";"56785";"54561";"52116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97638";"96408";"95985";"95698";"95359";"95000";"94709";"94585";"94549";"94515";"94478";"94446";"94411";"94375";"94327";"94294";"94262";"94229";"94186";"94136";"94105";"94069";"94033";"93988";"93960";"93920";"93886";"93833";"93778";"93740";"93689";"93641";"93583";"93521";"93466";"93391";"93321";"93249";"93169";"93068";"92967";"92864";"92740";"92609";"92458";"92304";"92146";"91941";"91710";"91470";"91227";"90981";"90661";"90357";"90028";"89683";"89310";"88884";"88409";"87940";"87434";"86855";"86215";"85534";"84871";"84175";"83456";"82643";"81786";"80879";"79925";"78912";"77799";"76630";"75250";"73832";"72267";"70543";"68676";"66621";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1940";"100000";"96729";"95122";"94686";"94208";"93690";"93268";"93061";"92964";"92891";"92840";"92788";"92740";"92700";"92645";"92611";"92551";"92497";"92447";"92377";"92289";"92210";"92103";"92005";"91902";"91834";"91729";"91636";"91529";"91443";"91366";"91277";"91176";"91082";"90971";"90880";"90790";"90669";"90555";"90435";"90306";"90157";"89993";"89823";"89623";"89445";"89217";"88977";"88699";"88424";"88117";"87772";"87373";"86946";"86496";"86015";"85494";"84903";"84232";"83566";"82813";"82039";"81202";"80271";"79272";"78224";"77102";"75987";"74775";"73471";"72120";"70641";"69205";"67578";"65867";"64098";"62083";"60008";"57881";"55635";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"97530";"96207";"95790";"95366";"94938";"94609";"94466";"94406";"94366";"94328";"94298";"94261";"94233";"94187";"94154";"94124";"94105";"94068";"94035";"93998";"93950";"93918";"93884";"93851";"93813";"93760";"93716";"93678";"93624";"93575";"93515";"93461";"93416";"93350";"93278";"93220";"93148";"93067";"92996";"92919";"92832";"92725";"92600";"92473";"92344";"92176";"92012";"91833";"91642";"91430";"91230";"90999";"90729";"90425";"90067";"89732";"89390";"88969";"88539";"88053";"87524";"86983";"86398";"85758";"85087";"84370";"83643";"82877";"82006";"81108";"80138";"79096";"77888";"76707";"75409";"73985";"72370";"70593";"68633";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
