"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"1950";"100000";"97465";"96910";"96717";"96553";"96431";"96361";"96285";"96224";"96169";"96116";"96067";"96025";"95986";"95943";"95899";"95859";"95784";"95686";"95581";"95453";"95340";"95226";"95122";"95009";"94928";"94854";"94771";"94689";"94613";"94536";"94455";"94364";"94290";"94197";"94111";"94006";"93909";"93793";"93673";"93548";"93410";"93274";"93100";"92905";"92707";"92493";"92265";"92018";"91747";"91441";"91105";"90734";"90351";"89919";"89489";"89011";"88516";"87956";"87411";"86829";"86161";"85518";"84758";"83976";"83156";"82216";"81228";"80213";"79073";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98088";"97565";"97389";"97258";"97184";"97131";"97078";"97038";"97006";"96974";"96953";"96923";"96891";"96868";"96838";"96803";"96769";"96723";"96686";"96640";"96601";"96566";"96517";"96468";"96429";"96394";"96359";"96324";"96273";"96232";"96172";"96122";"96069";"96029";"95959";"95905";"95816";"95749";"95676";"95589";"95497";"95389";"95260";"95112";"94969";"94805";"94636";"94448";"94246";"94009";"93763";"93505";"93223";"92889";"92526";"92164";"91782";"91383";"90977";"90537";"90058";"89552";"89026";"88425";"87821";"87152";"86439";"85672";"84878";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1951";"100000";"97434";"96938";"96722";"96594";"96483";"96414";"96355";"96286";"96226";"96180";"96149";"96107";"96074";"96025";"95977";"95921";"95841";"95757";"95688";"95579";"95464";"95361";"95256";"95174";"95088";"95012";"94919";"94849";"94774";"94703";"94622";"94543";"94456";"94372";"94277";"94194";"94087";"93981";"93856";"93735";"93596";"93439";"93278";"93096";"92897";"92696";"92460";"92215";"91954";"91646";"91285";"90938";"90541";"90078";"89649";"89207";"88754";"88237";"87688";"87076";"86481";"85805";"85109";"84326";"83480";"82564";"81616";"80543";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98050";"97608";"97415";"97322";"97251";"97190";"97148";"97112";"97076";"97038";"97014";"96988";"96963";"96940";"96915";"96880";"96848";"96806";"96771";"96725";"96686";"96637";"96593";"96560";"96530";"96487";"96447";"96417";"96373";"96327";"96279";"96226";"96169";"96101";"96030";"95969";"95896";"95823";"95752";"95671";"95577";"95467";"95363";"95222";"95076";"94911";"94707";"94511";"94287";"94056";"93794";"93523";"93230";"92924";"92612";"92256";"91907";"91514";"91136";"90678";"90187";"89648";"89050";"88446";"87794";"87092";"86343";"85601";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1952";"100000";"97700";"97208";"97029";"96910";"96812";"96715";"96646";"96570";"96511";"96465";"96426";"96390";"96347";"96314";"96269";"96211";"96138";"96041";"95940";"95809";"95692";"95573";"95459";"95382";"95284";"95207";"95133";"95066";"94967";"94891";"94813";"94737";"94646";"94557";"94471";"94374";"94269";"94164";"94040";"93909";"93772";"93642";"93458";"93253";"93057";"92869";"92645";"92375";"92082";"91821";"91503";"91143";"90783";"90433";"90041";"89627";"89133";"88598";"88050";"87418";"86797";"86097";"85365";"84581";"83690";"82778";"81778";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98173";"97739";"97590";"97502";"97429";"97365";"97322";"97267";"97233";"97207";"97188";"97159";"97133";"97105";"97074";"97048";"97008";"96966";"96918";"96873";"96839";"96798";"96760";"96726";"96682";"96633";"96586";"96537";"96512";"96462";"96417";"96370";"96328";"96270";"96208";"96150";"96079";"95993";"95901";"95813";"95726";"95626";"95500";"95375";"95216";"95053";"94892";"94687";"94455";"94241";"93964";"93681";"93383";"93094";"92791";"92443";"92078";"91713";"91313";"90876";"90381";"89890";"89381";"88778";"88190";"87567";"86831";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1953";"100000";"97668";"97227";"97055";"96938";"96852";"96786";"96699";"96642";"96584";"96534";"96492";"96444";"96411";"96370";"96324";"96277";"96203";"96094";"95990";"95862";"95754";"95651";"95571";"95475";"95393";"95320";"95232";"95154";"95079";"94986";"94915";"94846";"94768";"94690";"94598";"94503";"94401";"94288";"94164";"94039";"93875";"93727";"93561";"93386";"93188";"92980";"92764";"92525";"92217";"91919";"91592";"91242";"90882";"90509";"90123";"89694";"89188";"88678";"88144";"87544";"86920";"86232";"85495";"84696";"83857";"82946";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98304";"97912";"97763";"97675";"97584";"97539";"97488";"97448";"97416";"97391";"97363";"97336";"97310";"97289";"97252";"97220";"97181";"97133";"97092";"97036";"96992";"96964";"96938";"96899";"96865";"96823";"96779";"96744";"96695";"96652";"96597";"96545";"96488";"96426";"96367";"96297";"96226";"96160";"96083";"96005";"95898";"95792";"95674";"95519";"95369";"95211";"95036";"94810";"94588";"94362";"94094";"93813";"93526";"93211";"92905";"92580";"92211";"91822";"91410";"90961";"90475";"89952";"89368";"88767";"88146";"87451";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1954";"100000";"97822";"97466";"97311";"97197";"97096";"97001";"96938";"96870";"96815";"96767";"96724";"96686";"96644";"96597";"96555";"96518";"96444";"96343";"96242";"96119";"96010";"95903";"95810";"95716";"95612";"95532";"95453";"95378";"95312";"95234";"95144";"95072";"94988";"94898";"94805";"94707";"94595";"94459";"94346";"94188";"94051";"93897";"93725";"93548";"93352";"93134";"92908";"92642";"92384";"92093";"91794";"91473";"91117";"90758";"90371";"89959";"89499";"88987";"88445";"87844";"87231";"86558";"85835";"85052";"84214";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98296";"97928";"97776";"97674";"97603";"97543";"97499";"97460";"97428";"97406";"97375";"97355";"97334";"97300";"97267";"97230";"97187";"97151";"97118";"97078";"97028";"96993";"96959";"96925";"96897";"96865";"96825";"96791";"96752";"96710";"96657";"96603";"96551";"96484";"96426";"96359";"96292";"96206";"96134";"96044";"95955";"95833";"95703";"95567";"95407";"95233";"95045";"94850";"94592";"94335";"94103";"93836";"93550";"93271";"92941";"92595";"92233";"91876";"91434";"91010";"90546";"90019";"89448";"88874";"88274";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1955";"100000";"97823";"97427";"97262";"97124";"97010";"96906";"96821";"96760";"96713";"96656";"96606";"96556";"96518";"96474";"96438";"96374";"96289";"96170";"96067";"95935";"95823";"95720";"95619";"95536";"95459";"95367";"95288";"95208";"95135";"95046";"94965";"94892";"94819";"94733";"94656";"94560";"94450";"94337";"94223";"94115";"93968";"93811";"93666";"93475";"93298";"93084";"92863";"92617";"92378";"92107";"91782";"91459";"91143";"90790";"90406";"89963";"89496";"88988";"88445";"87910";"87288";"86610";"85938";"85163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98384";"98070";"97935";"97844";"97756";"97699";"97670";"97630";"97586";"97561";"97523";"97490";"97464";"97437";"97411";"97379";"97342";"97299";"97244";"97204";"97165";"97131";"97092";"97056";"97028";"96992";"96964";"96930";"96891";"96847";"96809";"96751";"96697";"96634";"96563";"96505";"96428";"96336";"96244";"96160";"96051";"95931";"95815";"95687";"95548";"95366";"95169";"94958";"94760";"94504";"94257";"94003";"93721";"93448";"93144";"92816";"92436";"92055";"91679";"91247";"90788";"90304";"89741";"89149";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1956";"100000";"98010";"97636";"97460";"97328";"97226";"97161";"97095";"97019";"96971";"96931";"96889";"96840";"96801";"96764";"96727";"96686";"96611";"96512";"96387";"96291";"96210";"96101";"96004";"95933";"95852";"95779";"95713";"95656";"95585";"95503";"95429";"95364";"95278";"95187";"95087";"94991";"94880";"94777";"94652";"94545";"94423";"94281";"94120";"93934";"93742";"93527";"93300";"93075";"92795";"92515";"92227";"91947";"91581";"91229";"90869";"90488";"90060";"89562";"89066";"88503";"87900";"87231";"86529";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98502";"98194";"98065";"97969";"97905";"97846";"97802";"97758";"97727";"97695";"97665";"97643";"97617";"97592";"97557";"97534";"97493";"97448";"97409";"97374";"97339";"97296";"97248";"97218";"97177";"97140";"97103";"97064";"97035";"97004";"96954";"96899";"96850";"96795";"96735";"96674";"96597";"96529";"96438";"96350";"96254";"96132";"96002";"95865";"95712";"95543";"95353";"95143";"94916";"94689";"94445";"94199";"93915";"93628";"93308";"92961";"92627";"92256";"91866";"91439";"90975";"90477";"89932";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1957";"100000";"98197";"97825";"97625";"97502";"97418";"97337";"97261";"97193";"97145";"97092";"97041";"97014";"96976";"96933";"96903";"96851";"96791";"96697";"96614";"96499";"96387";"96293";"96198";"96108";"96029";"95952";"95875";"95803";"95727";"95659";"95585";"95512";"95425";"95338";"95241";"95135";"95032";"94916";"94780";"94665";"94530";"94391";"94235";"94038";"93861";"93662";"93419";"93209";"92974";"92711";"92444";"92127";"91799";"91468";"91098";"90681";"90229";"89779";"89292";"88769";"88178";"87548";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98607";"98300";"98165";"98083";"98029";"97979";"97941";"97904";"97879";"97859";"97837";"97821";"97791";"97762";"97726";"97695";"97653";"97618";"97586";"97543";"97519";"97473";"97437";"97405";"97371";"97336";"97301";"97265";"97232";"97184";"97148";"97103";"97055";"97003";"96934";"96859";"96793";"96707";"96606";"96505";"96404";"96284";"96155";"96036";"95906";"95739";"95556";"95353";"95155";"94950";"94734";"94475";"94216";"93923";"93629";"93317";"92964";"92609";"92216";"91788";"91350";"90847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1958";"100000";"98221";"97859";"97705";"97595";"97488";"97414";"97347";"97282";"97230";"97177";"97126";"97088";"97045";"97009";"96956";"96914";"96822";"96739";"96650";"96521";"96419";"96338";"96233";"96152";"96085";"96021";"95945";"95879";"95801";"95737";"95662";"95599";"95520";"95451";"95362";"95263";"95153";"95053";"94936";"94818";"94696";"94552";"94399";"94227";"94051";"93851";"93675";"93477";"93242";"93009";"92753";"92459";"92154";"91848";"91496";"91101";"90693";"90256";"89796";"89256";"88662";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98582";"98274";"98152";"98091";"98022";"97970";"97913";"97875";"97839";"97811";"97783";"97757";"97728";"97701";"97675";"97636";"97608";"97572";"97531";"97500";"97457";"97421";"97386";"97358";"97316";"97277";"97245";"97213";"97171";"97134";"97098";"97047";"96991";"96924";"96868";"96801";"96723";"96640";"96558";"96466";"96373";"96256";"96132";"96008";"95865";"95707";"95530";"95352";"95167";"94966";"94737";"94479";"94233";"93938";"93654";"93353";"93031";"92672";"92268";"91861";"91396";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1959";"100000";"98222";"97947";"97803";"97685";"97586";"97508";"97454";"97396";"97349";"97305";"97250";"97215";"97167";"97124";"97091";"97039";"96981";"96901";"96809";"96707";"96603";"96507";"96402";"96339";"96255";"96181";"96119";"96035";"95963";"95896";"95824";"95743";"95648";"95559";"95447";"95350";"95232";"95117";"94994";"94886";"94749";"94605";"94455";"94286";"94102";"93908";"93729";"93541";"93304";"93066";"92813";"92523";"92232";"91897";"91545";"91165";"90754";"90283";"89808";"89291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"98647";"98339";"98236";"98158";"98108";"98049";"98009";"97980";"97945";"97917";"97891";"97873";"97841";"97810";"97777";"97752";"97721";"97688";"97652";"97614";"97579";"97539";"97505";"97475";"97444";"97418";"97384";"97356";"97318";"97286";"97249";"97208";"97157";"97102";"97052";"96982";"96918";"96843";"96777";"96695";"96578";"96471";"96357";"96236";"96081";"95931";"95774";"95599";"95406";"95203";"94963";"94699";"94445";"94150";"93859";"93557";"93230";"92830";"92426";"92012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
