"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"1911";"100000";"88345";"84041";"82734";"82128";"81697";"81375";"81083";"80682";"80433";"80288";"80172";"80053";"79974";"79876";"79775";"79658";"79528";"79374";"79183";"79013";"78824";"78645";"78476";"78310";"78148";"77979";"77834";"77695";"77552";"77255";"77017";"76832";"76551";"76168";"75443";"75272";"75134";"75003";"74863";"74701";"74530";"74383";"74193";"73984";"73792";"73546";"73284";"73040";"72766";"72405";"72033";"71581";"71118";"70582";"69909";"69216";"68482";"67658";"66775";"65722";"64593";"63361";"62079";"60784";"59305";"57737";"56112";"54368";"52570";"50664";"48637";"46593";"44362";"42071";"39722";"37250";"34806";"32343";"29779";"27247";"24700";"22301";"19797";"17511";"15276";"13122";"11276";"9476";"7820";"6341";"5042";"3899";"2924";"2236";"1591";"1109";"763";"508";"344";"100000";"90385";"86384";"85166";"84599";"84186";"83872";"83590";"83142";"82920";"82786";"82672";"82584";"82490";"82360";"82219";"82094";"81935";"81769";"81572";"81421";"81252";"81090";"80942";"80799";"80640";"80506";"80366";"80231";"80109";"79972";"79844";"79681";"79476";"79214";"78931";"78754";"78611";"78479";"78358";"78225";"78106";"77980";"77823";"77663";"77501";"77310";"77121";"76911";"76688";"76478";"76230";"75964";"75677";"75362";"75013";"74612";"74217";"73763";"73285";"72755";"72236";"71624";"71053";"70376";"69583";"68763";"67909";"67039";"66102";"65060";"63942";"62699";"61465";"60040";"58523";"56815";"55076";"53140";"50895";"48627";"46189";"43515";"40514";"37611";"34566";"31468";"28368";"25058";"21817";"18726";"15718";"12889";"10372";"8256";"6414";"4825";"3601";"2576";"1794"
"1912";"100000";"92413";"87949";"86576";"85883";"85415";"85002";"84464";"84166";"83998";"83865";"83752";"83646";"83523";"83394";"83293";"83171";"83008";"82835";"82659";"82479";"82304";"82153";"81993";"81842";"81687";"81505";"81355";"81205";"80864";"80654";"80406";"80076";"79699";"78950";"78784";"78607";"78469";"78321";"78198";"78039";"77889";"77705";"77526";"77314";"77105";"76869";"76627";"76323";"76015";"75643";"75229";"74755";"74285";"73694";"72987";"72269";"71473";"70615";"69581";"68560";"67383";"66187";"64886";"63449";"61925";"60331";"58589";"56797";"54850";"52832";"50815";"48684";"46391";"44056";"41548";"39198";"36756";"34183";"31528";"28919";"26295";"23548";"21028";"18449";"16035";"13832";"11741";"9811";"8107";"6534";"5212";"4041";"3107";"2283";"1658";"1180";"796";"543";"351";"100000";"93902";"89967";"88676";"87995";"87563";"87187";"86626";"86320";"86156";"86036";"85924";"85835";"85751";"85633";"85511";"85383";"85245";"85069";"84925";"84749";"84585";"84420";"84273";"84127";"83985";"83863";"83732";"83604";"83467";"83299";"83141";"82945";"82660";"82396";"82251";"82115";"81988";"81860";"81729";"81584";"81422";"81270";"81115";"80958";"80790";"80584";"80395";"80188";"79963";"79684";"79417";"79101";"78806";"78465";"78153";"77763";"77354";"76860";"76355";"75815";"75280";"74679";"74064";"73354";"72626";"71777";"70969";"70001";"68982";"67902";"66776";"65520";"64148";"62564";"60962";"59086";"57308";"55281";"53050";"50620";"48136";"45355";"42455";"39388";"36216";"32981";"29686";"26216";"22785";"19533";"16436";"13492";"10939";"8725";"6695";"5058";"3701";"2677";"1864"
"1913";"100000";"91838";"87399";"85968";"85267";"84738";"84047";"83637";"83434";"83292";"83165";"83070";"82968";"82858";"82748";"82649";"82523";"82382";"82230";"82063";"81869";"81703";"81557";"81358";"81198";"81042";"80897";"80764";"80473";"80237";"79990";"79678";"79279";"78565";"78407";"78253";"78113";"77992";"77847";"77722";"77571";"77398";"77218";"77063";"76883";"76662";"76439";"76169";"75881";"75545";"75192";"74761";"74323";"73747";"73135";"72493";"71738";"70967";"70068";"69131";"68095";"66967";"65782";"64452";"62943";"61522";"59963";"58314";"56565";"54756";"52728";"50604";"48493";"46277";"43854";"41645";"39192";"36587";"34116";"31534";"28970";"26295";"23766";"21159";"18619";"16277";"14039";"12000";"10043";"8330";"6766";"5301";"4167";"3198";"2373";"1760";"1249";"884";"621";"411";"100000";"93374";"89273";"87858";"87168";"86654";"85963";"85620";"85406";"85278";"85168";"85055";"84958";"84861";"84757";"84656";"84526";"84356";"84223";"84063";"83903";"83763";"83638";"83493";"83343";"83206";"83081";"82923";"82779";"82593";"82407";"82208";"81945";"81684";"81516";"81358";"81235";"81106";"80971";"80860";"80731";"80576";"80438";"80287";"80139";"79973";"79796";"79593";"79355";"79120";"78879";"78586";"78297";"77980";"77618";"77246";"76836";"76414";"75975";"75513";"75001";"74428";"73845";"73205";"72528";"71806";"71063";"70223";"69300";"68248";"67211";"66110";"64840";"63457";"61979";"60398";"58757";"56879";"54850";"52640";"50420";"47875";"45266";"42423";"39305";"36190";"32974";"29638";"26257";"22948";"19701";"16513";"13768";"11126";"8860";"6988";"5313";"3949";"2860";"2077"
"1914";"100000";"91536";"87190";"85585";"84824";"83870";"83417";"83169";"82996";"82878";"82763";"82645";"82530";"82431";"82319";"82182";"82071";"81940";"81801";"81652";"81497";"81320";"81177";"80985";"80849";"80688";"80556";"80257";"80037";"79785";"79487";"79016";"78233";"78061";"77917";"77807";"77656";"77552";"77429";"77298";"77153";"77012";"76858";"76687";"76492";"76254";"76030";"75786";"75483";"75163";"74791";"74389";"73880";"73379";"72786";"72185";"71447";"70623";"69760";"68799";"67866";"66765";"65554";"64254";"62974";"61473";"59909";"58267";"56486";"54629";"52716";"50642";"48472";"46250";"43976";"41560";"39095";"36631";"34060";"31534";"28810";"26301";"23753";"21246";"18853";"16508";"14240";"12183";"10230";"8383";"6792";"5479";"4317";"3333";"2566";"1886";"1363";"934";"651";"404";"100000";"93235";"89274";"87720";"87021";"86095";"85596";"85344";"85184";"85077";"84978";"84871";"84775";"84684";"84575";"84460";"84335";"84190";"84035";"83888";"83754";"83605";"83465";"83335";"83199";"83070";"82950";"82802";"82656";"82491";"82298";"82010";"81715";"81574";"81442";"81330";"81221";"81116";"81002";"80878";"80750";"80627";"80481";"80344";"80190";"80016";"79836";"79647";"79466";"79256";"79008";"78752";"78494";"78162";"77834";"77505";"77092";"76650";"76216";"75714";"75189";"74627";"74038";"73422";"72766";"72012";"71219";"70435";"69523";"68576";"67532";"66428";"65147";"63743";"62387";"60781";"59116";"57296";"55326";"53246";"50891";"48346";"45675";"42839";"39847";"36679";"33362";"29963";"26560";"23118";"19742";"16769";"14013";"11548";"9405";"7311";"5612";"4181";"3051";"2123"
"1915";"100000";"92581";"87884";"86293";"84899";"84264";"83941";"83721";"83568";"83448";"83325";"83219";"83103";"83007";"82917";"82797";"82673";"82556";"82415";"82264";"82117";"81979";"81807";"81655";"81520";"81355";"81041";"80807";"80541";"80243";"79807";"79019";"78861";"78711";"78567";"78435";"78309";"78195";"78085";"77957";"77808";"77651";"77484";"77302";"77069";"76845";"76619";"76363";"76031";"75637";"75195";"74779";"74312";"73806";"73232";"72520";"71779";"70962";"70031";"69170";"68203";"67094";"65806";"64545";"63211";"61792";"60236";"58595";"56848";"54992";"53020";"50997";"48908";"46702";"44337";"41971";"39476";"36912";"34442";"31775";"29149";"26570";"24063";"21582";"19100";"16653";"14368";"12345";"10350";"8529";"6938";"5568";"4363";"3334";"2492";"1812";"1307";"913";"634";"403";"100000";"93973";"89926";"88420";"87051";"86402";"86089";"85883";"85749";"85630";"85543";"85455";"85366";"85272";"85183";"85063";"84938";"84788";"84659";"84547";"84420";"84296";"84146";"84029";"83907";"83806";"83652";"83510";"83389";"83199";"82943";"82653";"82482";"82327";"82222";"82092";"81964";"81846";"81720";"81590";"81459";"81334";"81179";"81038";"80871";"80702";"80501";"80332";"80121";"79897";"79642";"79391";"79087";"78789";"78452";"78048";"77646";"77222";"76738";"76302";"75828";"75299";"74753";"74151";"73459";"72716";"71989";"71163";"70266";"69310";"68283";"67117";"65952";"64639";"63222";"61644";"59949";"58123";"56080";"53803";"51406";"48904";"46200";"43346";"40306";"37148";"33759";"30390";"26985";"23595";"20408";"17353";"14431";"11891";"9547";"7528";"5810";"4381";"3153";"2114"
"1916";"100000";"92428";"87972";"85417";"84367";"83963";"83696";"83506";"83338";"83219";"83112";"83009";"82914";"82810";"82702";"82609";"82515";"82407";"82252";"82110";"81957";"81795";"81647";"81477";"81344";"81030";"80785";"80532";"80220";"79821";"79025";"78879";"78750";"78628";"78513";"78417";"78300";"78179";"78051";"77915";"77778";"77635";"77487";"77326";"77141";"76919";"76673";"76388";"76086";"75704";"75310";"74895";"74402";"73802";"73204";"72523";"71772";"70925";"70060";"69050";"68006";"66943";"65738";"64452";"63083";"61591";"60111";"58496";"56749";"54919";"52958";"50890";"48742";"46529";"44196";"41739";"39416";"36840";"34202";"31714";"29119";"26440";"23833";"21346";"18925";"16458";"14341";"12260";"10225";"8514";"6944";"5675";"4477";"3458";"2620";"1919";"1437";"990";"658";"429";"100000";"94051";"90084";"87548";"86557";"86152";"85906";"85743";"85603";"85490";"85404";"85305";"85191";"85108";"85025";"84927";"84799";"84690";"84595";"84483";"84343";"84229";"84109";"84006";"83894";"83746";"83594";"83454";"83261";"83012";"82762";"82614";"82478";"82358";"82261";"82154";"82070";"81957";"81802";"81686";"81570";"81437";"81291";"81162";"80992";"80839";"80693";"80511";"80312";"80098";"79860";"79603";"79306";"78984";"78645";"78233";"77822";"77398";"76937";"76465";"75967";"75451";"74843";"74271";"73612";"72861";"72077";"71232";"70380";"69401";"68381";"67265";"66042";"64737";"63254";"61704";"60028";"58167";"56138";"53922";"51576";"48945";"46212";"43340";"40286";"36898";"33590";"30293";"26736";"23587";"20378";"17322";"14561";"11925";"9643";"7577";"5830";"4320";"3141";"2158"
"1917";"100000";"92368";"86599";"84429";"83791";"83462";"83218";"83048";"82910";"82763";"82632";"82512";"82404";"82311";"82224";"82113";"82012";"81914";"81779";"81645";"81496";"81349";"81214";"81072";"80735";"80505";"80277";"79936";"79484";"78672";"78502";"78342";"78228";"78100";"78007";"77873";"77763";"77637";"77520";"77402";"77278";"77136";"76991";"76807";"76598";"76384";"76162";"75884";"75569";"75241";"74860";"74435";"74002";"73500";"72869";"72149";"71442";"70611";"69729";"68822";"67863";"66791";"65632";"64464";"63131";"61743";"60193";"58579";"56919";"55044";"53060";"51081";"49057";"46885";"44679";"42321";"40018";"37455";"34986";"32333";"29626";"27048";"24506";"21991";"19543";"17128";"14785";"12660";"10733";"9002";"7433";"5951";"4739";"3684";"2822";"2113";"1488";"1048";"726";"469";"100000";"93960";"88659";"86641";"86065";"85748";"85549";"85399";"85273";"85160";"85051";"84949";"84866";"84783";"84707";"84609";"84520";"84415";"84302";"84172";"84064";"83939";"83817";"83717";"83562";"83405";"83264";"83095";"82815";"82548";"82399";"82306";"82197";"82079";"81994";"81884";"81770";"81650";"81538";"81420";"81302";"81177";"81058";"80921";"80787";"80636";"80468";"80281";"80076";"79848";"79630";"79385";"79094";"78770";"78416";"78066";"77705";"77276";"76854";"76407";"75921";"75377";"74834";"74234";"73587";"72910";"72191";"71394";"70502";"69526";"68522";"67405";"66172";"64798";"63360";"61797";"60128";"58222";"56234";"54052";"51800";"49281";"46553";"43535";"40478";"37270";"33909";"30521";"27304";"24062";"20876";"17862";"15004";"12476";"10047";"7957";"6105";"4476";"3288";"2257"
"1918";"100000";"91776";"86561";"85268";"84823";"84483";"84247";"84052";"83870";"83730";"83605";"83488";"83372";"83285";"83184";"83097";"82993";"82862";"82736";"82611";"82459";"82300";"82145";"81787";"81543";"81231";"80926";"80452";"79444";"79269";"79125";"79007";"78908";"78806";"78704";"78589";"78467";"78349";"78226";"78092";"77961";"77821";"77667";"77499";"77281";"77071";"76842";"76583";"76289";"75933";"75490";"75046";"74571";"74008";"73379";"72681";"71938";"71171";"70294";"69341";"68351";"67313";"66122";"64943";"63582";"62176";"60739";"59066";"57334";"55359";"53420";"51492";"49352";"47072";"44804";"42399";"39921";"37453";"34895";"32268";"29721";"27120";"24582";"22049";"19550";"17106";"14816";"12808";"10858";"9101";"7572";"6166";"4969";"3880";"2989";"2184";"1575";"1106";"760";"512";"100000";"93277";"88765";"87571";"87134";"86866";"86666";"86506";"86361";"86238";"86144";"86029";"85930";"85826";"85736";"85659";"85576";"85448";"85329";"85224";"85106";"85003";"84903";"84789";"84646";"84484";"84291";"84035";"83740";"83598";"83482";"83372";"83288";"83190";"83099";"83013";"82910";"82840";"82730";"82624";"82507";"82373";"82256";"82120";"81969";"81822";"81657";"81450";"81224";"80986";"80754";"80448";"80151";"79839";"79499";"79168";"78771";"78388";"77973";"77538";"77055";"76541";"75961";"75351";"74669";"73937";"73158";"72267";"71373";"70409";"69336";"68204";"66944";"65600";"64121";"62564";"60839";"58913";"56884";"54679";"52294";"49853";"47127";"44136";"41031";"37669";"34362";"30993";"27793";"24522";"21498";"18448";"15530";"12852";"10466";"8187";"6300";"4690";"3326";"2317"
"1919";"100000";"93355";"89282";"88194";"87652";"87341";"87116";"86915";"86754";"86597";"86471";"86352";"86258";"86167";"86088";"85974";"85885";"85784";"85668";"85538";"85406";"85265";"84801";"84506";"84217";"83824";"83299";"82288";"82094";"81940";"81827";"81686";"81585";"81485";"81371";"81271";"81173";"81084";"80943";"80817";"80689";"80522";"80381";"80199";"80012";"79788";"79522";"79209";"78883";"78535";"78093";"77634";"77129";"76588";"75964";"75288";"74560";"73720";"72885";"71894";"70914";"69890";"68761";"67551";"66148";"64749";"63278";"61627";"59826";"58001";"56048";"54046";"51930";"49683";"47373";"44868";"42365";"39763";"37055";"34327";"31628";"29026";"26294";"23730";"21196";"18666";"16355";"14226";"12124";"10174";"8443";"6930";"5519";"4348";"3326";"2464";"1836";"1288";"902";"583";"100000";"94641";"91393";"90373";"89868";"89594";"89381";"89195";"89059";"88935";"88820";"88693";"88598";"88505";"88421";"88333";"88238";"88122";"87998";"87877";"87745";"87641";"87507";"87373";"87222";"87012";"86722";"86404";"86243";"86126";"86033";"85959";"85898";"85797";"85709";"85602";"85508";"85404";"85306";"85214";"85105";"84991";"84856";"84720";"84569";"84396";"84239";"84027";"83819";"83585";"83345";"83085";"82796";"82413";"82048";"81662";"81286";"80858";"80398";"79940";"79443";"78903";"78317";"77699";"77107";"76427";"75636";"74760";"73818";"72861";"71809";"70653";"69411";"68038";"66588";"64926";"63132";"61136";"59080";"56858";"54560";"51963";"49174";"46136";"42983";"39699";"36431";"33045";"29624";"26376";"23032";"19787";"16755";"13843";"11234";"8823";"6832";"5030";"3538";"2460"
"1920";"100000";"93300";"89774";"88561";"88123";"87852";"87598";"87397";"87218";"87050";"86896";"86792";"86696";"86600";"86531";"86428";"86315";"86221";"86110";"85962";"85819";"85457";"85170";"84900";"84557";"84024";"82963";"82797";"82638";"82530";"82397";"82286";"82192";"82086";"81972";"81856";"81755";"81663";"81557";"81452";"81293";"81120";"80951";"80768";"80572";"80341";"80075";"79803";"79491";"79148";"78731";"78241";"77730";"77171";"76553";"75940";"75197";"74420";"73584";"72634";"71678";"70590";"69463";"68154";"66821";"65397";"63792";"62180";"60412";"58541";"56662";"54660";"52520";"50295";"47889";"45527";"43008";"40357";"37872";"35282";"32547";"29837";"27127";"24510";"21891";"19467";"17105";"14756";"12684";"10717";"8991";"7412";"6009";"4720";"3610";"2719";"1961";"1354";"899";"595";"100000";"94778";"91854";"90820";"90412";"90176";"89940";"89757";"89625";"89497";"89384";"89279";"89206";"89126";"89037";"88960";"88871";"88759";"88657";"88541";"88439";"88315";"88161";"88002";"87824";"87473";"87170";"87025";"86927";"86831";"86724";"86653";"86563";"86468";"86359";"86264";"86167";"86052";"85959";"85844";"85733";"85623";"85504";"85367";"85238";"85064";"84896";"84688";"84474";"84244";"83983";"83702";"83389";"83040";"82673";"82321";"81967";"81563";"81092";"80642";"80119";"79600";"79055";"78425";"77752";"77011";"76263";"75358";"74456";"73469";"72404";"71284";"69930";"68533";"66911";"65243";"63467";"61467";"59491";"57189";"54721";"52031";"49285";"46244";"43183";"39956";"36687";"33303";"29937";"26512";"23203";"19946";"17011";"13922";"11240";"8948";"6838";"5018";"3504";"2403"
