"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"1900";"100000";"87023";"79386";"77423";"76674";"76044";"75682";"75380";"75160";"74954";"74784";"74649";"74509";"74373";"74256";"74133";"73979";"73773";"73524";"72963";"72645";"72305";"72059";"71810";"71563";"71336";"71139";"70939";"70752";"70575";"70359";"70189";"70010";"69856";"69657";"69489";"69295";"69111";"68927";"68742";"68536";"68273";"68009";"67699";"67370";"66903";"66083";"65788";"65514";"65213";"64863";"64516";"64147";"63732";"63298";"62764";"62183";"61525";"60873";"60117";"59301";"58434";"57457";"56343";"55143";"53841";"52437";"50922";"49332";"47586";"45790";"43885";"41971";"39750";"37632";"35518";"33292";"30934";"28690";"26320";"24030";"21720";"19508";"17344";"15315";"13306";"11377";"9667";"8094";"6703";"5428";"4323";"3371";"2590";"1869";"1355";"945";"669";"440";"283";"100000";"89315";"82615";"80633";"79866";"79316";"78949";"78640";"78427";"78219";"78061";"77895";"77738";"77606";"77488";"77329";"77153";"76886";"76592";"75995";"75666";"75393";"75169";"74934";"74740";"74520";"74326";"74127";"73940";"73720";"73473";"73269";"73075";"72886";"72688";"72500";"72334";"72134";"71928";"71722";"71509";"71273";"71036";"70790";"70508";"70181";"69828";"69581";"69304";"69043";"68736";"68431";"68130";"67798";"67447";"67076";"66698";"66308";"65864";"65399";"64892";"64317";"63720";"63083";"62392";"61633";"60756";"59852";"58848";"57768";"56521";"55209";"53870";"52409";"50805";"49102";"47234";"45315";"43310";"41268";"39145";"36948";"34580";"32147";"29734";"27160";"24525";"21867";"19383";"16925";"14499";"12183";"10067";"8082";"6266";"4747";"3486";"2485";"1761";"1193"
"1901";"100000";"87482";"80757";"79058";"78090";"77534";"77161";"76830";"76554";"76368";"76207";"76028";"75889";"75797";"75669";"75545";"75367";"75151";"74646";"74332";"74027";"73810";"73584";"73335";"73112";"72888";"72692";"72479";"72313";"72120";"71960";"71781";"71622";"71458";"71323";"71139";"70955";"70777";"70569";"70385";"70125";"69874";"69556";"69211";"68758";"67990";"67691";"67409";"67116";"66786";"66484";"66107";"65683";"65246";"64780";"64245";"63691";"63094";"62438";"61667";"60787";"59921";"58824";"57716";"56392";"54995";"53539";"51941";"50311";"48533";"46556";"44646";"42511";"40407";"38253";"36014";"33628";"31328";"28927";"26613";"24302";"22048";"19870";"17753";"15686";"13659";"11678";"9936";"8311";"6806";"5519";"4427";"3492";"2610";"1935";"1406";"974";"643";"439";"280";"100000";"89898";"83681";"81918";"80988";"80484";"80131";"79820";"79568";"79383";"79243";"79078";"78939";"78798";"78670";"78510";"78277";"77977";"77402";"77078";"76796";"76578";"76349";"76137";"75951";"75777";"75610";"75401";"75223";"74988";"74787";"74587";"74387";"74196";"74008";"73826";"73608";"73423";"73202";"73006";"72807";"72587";"72302";"72062";"71699";"71338";"71070";"70812";"70575";"70300";"70042";"69768";"69479";"69126";"68738";"68346";"67968";"67539";"67072";"66598";"66042";"65538";"64970";"64337";"63627";"62824";"61969";"61107";"60106";"58999";"57803";"56463";"55059";"53619";"52030";"50310";"48466";"46615";"44580";"42519";"40376";"38086";"35810";"33375";"30856";"28166";"25456";"22877";"20339";"17667";"15075";"12738";"10526";"8322";"6582";"5099";"3860";"2790";"1988";"1290"
"1902";"100000";"89319";"83021";"80819";"79964";"79459";"79053";"78737";"78481";"78304";"78120";"77976";"77846";"77710";"77597";"77452";"77233";"76782";"76519";"76269";"76016";"75751";"75517";"75298";"75079";"74865";"74646";"74463";"74264";"74072";"73906";"73743";"73563";"73397";"73237";"73056";"72883";"72696";"72526";"72299";"72009";"71732";"71394";"70945";"70195";"69946";"69666";"69382";"69117";"68823";"68492";"68096";"67671";"67224";"66709";"66189";"65597";"64953";"64195";"63396";"62493";"61466";"60404";"59234";"57978";"56548";"55072";"53446";"51777";"49896";"47940";"45852";"43704";"41533";"39264";"36935";"34645";"32205";"29804";"27461";"25017";"22625";"20303";"18144";"15926";"13859";"11930";"10148";"8421";"6884";"5549";"4419";"3355";"2538";"1914";"1365";"966";"657";"413";"256";"100000";"91369";"85757";"83688";"82821";"82295";"81942";"81629";"81392";"81189";"81038";"80914";"80770";"80633";"80481";"80292";"80041";"79508";"79220";"78968";"78746";"78515";"78311";"78089";"77858";"77648";"77420";"77195";"76969";"76774";"76583";"76374";"76201";"76032";"75848";"75675";"75496";"75279";"75080";"74882";"74664";"74458";"74186";"73881";"73483";"73264";"73033";"72814";"72560";"72306";"72024";"71692";"71343";"71014";"70685";"70371";"70028";"69623";"69212";"68725";"68243";"67661";"67061";"66381";"65625";"64836";"63962";"63000";"61931";"60774";"59532";"58298";"56918";"55467";"53836";"52111";"50306";"48443";"46439";"44242";"42005";"39668";"37294";"34767";"32061";"29255";"26652";"23901";"21073";"18342";"15674";"13277";"10759";"8575";"6760";"5143";"3818";"2719";"1894";"1307"
"1903";"100000";"88439";"81665";"79905";"79177";"78657";"78226";"77956";"77758";"77566";"77380";"77274";"77150";"77038";"76904";"76753";"76399";"76165";"75962";"75781";"75579";"75350";"75127";"74912";"74711";"74481";"74299";"74083";"73889";"73716";"73566";"73396";"73256";"73112";"72943";"72768";"72607";"72425";"72184";"71923";"71638";"71308";"70894";"70166";"69920";"69672";"69444";"69185";"68911";"68607";"68295";"67929";"67498";"67063";"66565";"66014";"65434";"64748";"64030";"63199";"62252";"61204";"60119";"58946";"57638";"56292";"54789";"53039";"51260";"49371";"47471";"45560";"43587";"41318";"39039";"36716";"34381";"32073";"29633";"27243";"24886";"22511";"20180";"18003";"15873";"13820";"11928";"10068";"8387";"6894";"5632";"4333";"3388";"2582";"1957";"1424";"1025";"701";"487";"310";"100000";"90580";"84389";"82727";"82054";"81561";"81159";"80883";"80668";"80484";"80335";"80212";"80105";"79963";"79798";"79563";"79082";"78811";"78521";"78296";"78102";"77881";"77663";"77444";"77233";"77037";"76832";"76595";"76392";"76192";"76034";"75873";"75692";"75502";"75320";"75126";"74939";"74784";"74557";"74349";"74124";"73886";"73567";"73185";"72961";"72758";"72553";"72315";"72073";"71869";"71572";"71252";"70932";"70630";"70318";"69968";"69610";"69236";"68842";"68360";"67845";"67316";"66749";"66122";"65403";"64607";"63779";"62792";"61788";"60723";"59476";"58174";"56826";"55368";"53814";"52244";"50497";"48657";"46635";"44625";"42432";"40133";"37708";"35038";"32270";"29664";"26910";"24103";"21232";"18488";"15850";"13202";"10894";"8713";"6831";"5215";"3888";"2748";"1899";"1340"
"1904";"100000";"88726";"82674";"81082";"80266";"79715";"79344";"79074";"78823";"78627";"78499";"78365";"78219";"78102";"77979";"77680";"77492";"77296";"77109";"76903";"76688";"76473";"76278";"76059";"75849";"75660";"75465";"75290";"75119";"74953";"74793";"74615";"74465";"74302";"74132";"73930";"73793";"73483";"73257";"72988";"72665";"72227";"71455";"71207";"70960";"70726";"70483";"70236";"69943";"69675";"69358";"69015";"68569";"68122";"67598";"67078";"66477";"65778";"65068";"64219";"63257";"62253";"61144";"59934";"58655";"57342";"55831";"54182";"52474";"50567";"48527";"46562";"44363";"42096";"39820";"37469";"35084";"32658";"30250";"27819";"25338";"22945";"20584";"18309";"16181";"14093";"12161";"10344";"8642";"7115";"5622";"4406";"3400";"2546";"1924";"1435";"1011";"683";"455";"283";"100000";"90463";"85046";"83409";"82674";"82168";"81807";"81539";"81330";"81159";"81026";"80900";"80778";"80633";"80423";"79984";"79736";"79507";"79306";"79093";"78900";"78673";"78480";"78275";"78084";"77901";"77680";"77506";"77281";"77119";"76937";"76757";"76548";"76353";"76195";"76000";"75832";"75623";"75409";"75202";"74940";"74632";"74288";"74087";"73872";"73666";"73445";"73228";"73016";"72782";"72512";"72237";"71955";"71662";"71372";"71028";"70655";"70193";"69755";"69312";"68795";"68220";"67658";"67025";"66273";"65508";"64659";"63738";"62694";"61582";"60470";"59245";"57903";"56418";"54876";"53179";"51492";"49635";"47666";"45554";"43333";"40930";"38441";"35777";"33291";"30597";"27745";"24863";"21918";"19106";"16254";"13635";"11233";"9008";"7021";"5404";"4026";"2930";"2013";"1374"
"1905";"100000";"88956";"83179";"81503";"80705";"80233";"79893";"79612";"79378";"79209";"79065";"78928";"78786";"78601";"78306";"78158";"78006";"77857";"77677";"77485";"77285";"77073";"76871";"76670";"76474";"76277";"76109";"75916";"75743";"75570";"75405";"75248";"75099";"74936";"74760";"74569";"74250";"74032";"73784";"73462";"73025";"72318";"72095";"71871";"71654";"71430";"71185";"70908";"70630";"70311";"69952";"69612";"69195";"68731";"68204";"67630";"67009";"66310";"65436";"64585";"63638";"62564";"61429";"60188";"58808";"57316";"55687";"54003";"52143";"50323";"48424";"46369";"44193";"42055";"39710";"37394";"35036";"32632";"30082";"27726";"25311";"22925";"20562";"18290";"16150";"13981";"12020";"10203";"8552";"6972";"5656";"4490";"3464";"2656";"1953";"1376";"960";"624";"401";"256";"100000";"91092";"85780";"84260";"83491";"83068";"82775";"82531";"82312";"82158";"82013";"81874";"81717";"81510";"81100";"80869";"80682";"80487";"80312";"80114";"79923";"79715";"79525";"79317";"79119";"78924";"78712";"78535";"78367";"78184";"78007";"77842";"77687";"77517";"77344";"77180";"77015";"76840";"76642";"76430";"76105";"75778";"75596";"75395";"75208";"74977";"74768";"74537";"74319";"74036";"73772";"73512";"73212";"72868";"72565";"72211";"71848";"71427";"70986";"70525";"70015";"69490";"68927";"68252";"67519";"66672";"65767";"64859";"63859";"62759";"61595";"60337";"59002";"57648";"56105";"54480";"52833";"50872";"48855";"46874";"44576";"42166";"39633";"37000";"34187";"31331";"28394";"25554";"22697";"19573";"16720";"13981";"11535";"9350";"7336";"5537";"4142";"2927";"2031";"1355"
"1906";"100000";"89172";"83602";"81798";"81126";"80692";"80342";"80068";"79854";"79695";"79531";"79377";"79225";"78955";"78815";"78669";"78531";"78363";"78201";"78009";"77809";"77604";"77416";"77191";"76952";"76748";"76563";"76384";"76225";"76067";"75907";"75731";"75601";"75466";"75319";"75027";"74792";"74519";"74170";"73748";"73050";"72829";"72644";"72440";"72199";"71978";"71730";"71486";"71207";"70898";"70541";"70169";"69766";"69322";"68803";"68197";"67598";"66871";"66091";"65224";"64234";"63169";"61987";"60715";"59286";"57767";"56184";"54479";"52769";"50910";"48829";"46691";"44606";"42403";"40051";"37629";"35188";"32774";"30294";"27901";"25468";"23019";"20812";"18513";"16266";"14135";"12125";"10248";"8558";"7052";"5696";"4502";"3502";"2667";"1943";"1402";"1009";"698";"463";"296";"100000";"90847";"85838";"83984";"83320";"82921";"82581";"82331";"82169";"82031";"81886";"81714";"81560";"81233";"81018";"80838";"80690";"80510";"80332";"80151";"79955";"79766";"79558";"79381";"79170";"78978";"78807";"78650";"78490";"78311";"78141";"77942";"77794";"77627";"77449";"77271";"77099";"76924";"76699";"76399";"76077";"75883";"75671";"75478";"75301";"75132";"74909";"74714";"74473";"74220";"73969";"73688";"73395";"73075";"72771";"72405";"72066";"71692";"71261";"70805";"70300";"69759";"69131";"68457";"67685";"66866";"66004";"65121";"64132";"62992";"61869";"60632";"59337";"57925";"56448";"54885";"53161";"51328";"49434";"47293";"45028";"42636";"40189";"37493";"34782";"31861";"28922";"25987";"22828";"19903";"17123";"14370";"11794";"9556";"7496";"5745";"4247";"3082";"2111";"1439"
"1907";"100000";"90399";"84234";"82690";"82013";"81567";"81278";"81020";"80826";"80634";"80461";"80318";"79994";"79837";"79702";"79567";"79411";"79271";"79119";"78915";"78712";"78519";"78307";"78074";"77867";"77645";"77480";"77310";"77163";"77008";"76875";"76720";"76547";"76395";"76107";"75855";"75602";"75339";"74926";"74206";"74003";"73836";"73645";"73444";"73253";"73021";"72804";"72533";"72247";"71933";"71589";"71215";"70777";"70337";"69812";"69225";"68548";"67837";"67028";"66116";"65101";"63995";"62785";"61492";"60023";"58549";"56922";"55196";"53348";"51373";"49379";"47364";"45102";"42788";"40464";"38186";"35892";"33341";"30928";"28435";"25946";"23567";"21127";"18759";"16573";"14397";"12401";"10394";"8715";"7105";"5730";"4562";"3449";"2545";"1899";"1344";"943";"635";"412";"245";"100000";"92197";"86569";"85062";"84384";"83961";"83633";"83398";"83214";"83057";"82874";"82693";"82357";"82197";"82045";"81919";"81755";"81598";"81402";"81214";"81023";"80815";"80614";"80393";"80225";"80079";"79913";"79754";"79578";"79418";"79238";"79076";"78916";"78769";"78600";"78422";"78243";"78025";"77746";"77420";"77212";"77029";"76853";"76668";"76490";"76311";"76095";"75868";"75661";"75441";"75170";"74893";"74595";"74269";"73936";"73540";"73207";"72851";"72454";"71986";"71434";"70856";"70263";"69549";"68825";"68051";"67205";"66265";"65277";"64163";"62981";"61763";"60461";"59099";"57563";"55979";"54280";"52436";"50536";"48423";"46199";"43845";"41328";"38600";"35776";"32882";"29918";"26751";"23730";"20600";"17591";"14853";"12217";"9775";"7634";"5836";"4319";"3025";"2168";"1507"
"1908";"100000";"89511";"84457";"82932";"82224";"81781";"81477";"81209";"80991";"80811";"80614";"80307";"80159";"80031";"79937";"79822";"79691";"79551";"79373";"79167";"78980";"78778";"78538";"78335";"78144";"77985";"77802";"77643";"77477";"77312";"77179";"77030";"76878";"76583";"76362";"76126";"75834";"75455";"74746";"74542";"74362";"74198";"74000";"73818";"73620";"73389";"73149";"72898";"72575";"72264";"71908";"71563";"71130";"70676";"70124";"69508";"68792";"68009";"67170";"66219";"65242";"64175";"62940";"61576";"60172";"58615";"57054";"55417";"53589";"51618";"49606";"47540";"45397";"43253";"40996";"38641";"36237";"33733";"31206";"28691";"26191";"23802";"21383";"19060";"16846";"14724";"12607";"10771";"8989";"7373";"5934";"4686";"3594";"2714";"2021";"1441";"992";"680";"471";"314";"100000";"91677";"87284";"85784";"85085";"84679";"84381";"84174";"83980";"83784";"83602";"83255";"83079";"82940";"82816";"82684";"82555";"82378";"82201";"82031";"81827";"81645";"81423";"81226";"81031";"80869";"80683";"80545";"80377";"80219";"80065";"79937";"79780";"79610";"79422";"79226";"79052";"78750";"78433";"78244";"78079";"77902";"77739";"77591";"77431";"77256";"77069";"76854";"76649";"76411";"76160";"75893";"75622";"75329";"75002";"74667";"74317";"73892";"73439";"72949";"72485";"71938";"71314";"70574";"69873";"69054";"68214";"67263";"66258";"65205";"64083";"62888";"61538";"60134";"58643";"57058";"55419";"53488";"51479";"49284";"47036";"44658";"42066";"39346";"36519";"33638";"30354";"27245";"24098";"20987";"17965";"15085";"12346";"9896";"7770";"5929";"4412";"3220";"2309";"1606"
"1909";"100000";"91494";"86200";"84675";"83968";"83549";"83228";"82953";"82714";"82474";"82195";"82041";"81891";"81784";"81675";"81586";"81465";"81291";"81125";"80922";"80718";"80511";"80293";"80070";"79900";"79745";"79591";"79419";"79247";"79096";"78926";"78781";"78474";"78244";"78016";"77743";"77318";"76566";"76385";"76193";"76035";"75877";"75704";"75505";"75310";"75094";"74880";"74597";"74348";"74032";"73711";"73395";"72936";"72406";"71860";"71232";"70514";"69761";"68919";"67959";"66886";"65775";"64543";"63197";"61733";"60257";"58616";"56885";"54997";"53069";"51000";"48954";"46789";"44493";"42181";"39731";"37178";"34646";"32121";"29590";"27052";"24433";"21938";"19544";"17267";"14887";"12818";"10876";"9034";"7410";"5976";"4685";"3580";"2718";"2032";"1451";"1032";"684";"475";"330";"100000";"93100";"88255";"86669";"86027";"85627";"85330";"85086";"84855";"84615";"84223";"84029";"83883";"83775";"83670";"83538";"83400";"83244";"83071";"82865";"82695";"82482";"82321";"82154";"81992";"81828";"81689";"81536";"81387";"81224";"81063";"80932";"80767";"80574";"80415";"80185";"79930";"79625";"79445";"79284";"79109";"78946";"78789";"78606";"78421";"78218";"78036";"77795";"77590";"77370";"77125";"76882";"76614";"76305";"76021";"75684";"75298";"74908";"74448";"73969";"73446";"72836";"72231";"71553";"70800";"70063";"69291";"68476";"67489";"66465";"65352";"64175";"62922";"61575";"60066";"58505";"56783";"54884";"52830";"50811";"48489";"45928";"43259";"40489";"37612";"34445";"31196";"27981";"24826";"21628";"18504";"15553";"12859";"10364";"8074";"6142";"4681";"3427";"2452";"1739"
