name,frequency,percentage,ranking,gender,year
35,Filippo,2824.0,1.03,22.0,M,2000.0
11,Salvatore,2733.0,1.0,23.0,M,2000.0
86,Eleonora,2322.0,0.9,23.0,F,2000.0
81,Elena,3001.0,1.16,13.0,F,2000.0
59,Alessandra,2525.0,0.98,19.0,F,2000.0
6,Antonio,4945.0,1.8,13.0,M,2000.0
78,Giorgia,4740.0,1.83,7.0,F,2000.0
55,Elisa,3508.0,1.36,11.0,F,2000.0
36,Nicola,2691.0,0.98,24.0,M,2000.0
0,Andrea,10595.0,3.86,1.0,M,2000.0
50,Alessia,9315.0,3.61,1.0,F,2000.0
75,Chiara,8671.0,3.36,1.0,F,2000.0
25,Francesco,10387.0,3.79,2.0,M,2000.0
76,Giulia,8385.0,3.25,3.0,F,2000.0
51,Martina,8623.0,3.34,3.0,F,2000.0
1,Matteo,9810.0,3.58,3.0,M,2000.0
26,Alessandro,9226.0,3.37,4.0,M,2000.0
77,Francesca,6991.0,2.71,5.0,F,2000.0
30,Riccardo,5075.0,1.85,12.0,M,2000.0
2,Lorenzo,8052.0,2.94,5.0,M,2000.0
27,Luca,7780.0,2.84,6.0,M,2000.0
3,Marco,7014.0,2.56,7.0,M,2000.0
53,Federica,4947.0,1.91,7.0,F,2000.0
28,Davide,6458.0,2.36,8.0,M,2000.0
54,Alice,3809.0,1.47,9.0,F,2000.0
79,Anna,3663.0,1.42,9.0,F,2000.0
4,Simone,6407.0,2.34,9.0,M,2000.0
29,Giuseppe,5643.0,2.06,10.0,M,2000.0
5,Mattia,5368.0,1.96,11.0,M,2000.0
80,Sofia,3385.0,1.31,11.0,F,2000.0
52,Sara,7425.0,2.87,5.0,F,2000.0
87,Camilla,2213.0,0.86,25.0,F,2000.0
62,Gaia,2273.0,0.88,25.0,F,2000.0
12,Emanuele,2686.0,0.98,25.0,M,2000.0
94,Nicole,1358.0,0.53,39.0,F,2000.0
69,Greta,1361.0,0.53,39.0,F,2000.0
44,Domenico,1611.0,0.59,40.0,M,2000.0
95,Erika,1343.0,0.52,41.0,F,2000.0
70,Simona,1350.0,0.52,41.0,F,2000.0
20,Cristian,1574.0,0.57,41.0,M,2000.0
45,Jacopo,1560.0,0.57,42.0,M,2000.0
71,Lucia,1340.0,0.52,43.0,F,2000.0
21,Roberto,1544.0,0.56,43.0,M,2000.0
96,Serena,1272.0,0.49,43.0,F,2000.0
19,Paolo,1806.0,0.66,39.0,M,2000.0
46,Enrico,1450.0,0.53,44.0,M,2000.0
97,Ludovica,1237.0,0.48,45.0,F,2000.0
22,Angelo,1429.0,0.52,45.0,M,2000.0
47,Mario,1374.0,0.5,46.0,M,2000.0
73,Caterina,1227.0,0.47,47.0,F,2000.0
98,Marika,1223.0,0.47,47.0,F,2000.0
23,Alex,1345.0,0.49,47.0,M,2000.0
48,Giorgio,1265.0,0.46,48.0,M,2000.0
99,Margherita,1102.0,0.43,49.0,F,2000.0
24,Raffaele,1235.0,0.45,49.0,M,2000.0
74,Matilde,1207.0,0.47,49.0,F,2000.0
72,Letizia,1265.0,0.49,45.0,F,2000.0
43,Gianluca,1810.0,0.66,38.0,M,2000.0
49,Niccolo,1141.0,0.42,50.0,M,2000.0
68,Angela,1416.0,0.55,37.0,F,2000.0
93,Benedetta,1372.0,0.53,37.0,F,2000.0
37,Vincenzo,2677.0,0.98,26.0,M,2000.0
63,Noemi,2028.0,0.78,27.0,F,2000.0
13,Samuele,2617.0,0.95,27.0,M,2000.0
88,Marta,2022.0,0.78,27.0,F,2000.0
38,Nicolo,2516.0,0.92,28.0,M,2000.0
64,Irene,1981.0,0.77,29.0,F,2000.0
89,Roberta,1968.0,0.76,29.0,F,2000.0
39,Pietro,2380.0,0.87,30.0,M,2000.0
